"PRODUCTS_MODEL" "count"
"TMBP0702" 0
"TMBP3507" 5
"TMPB1439" 0
"TMFRIS21" 0
"TMFRIS08" 0
"TMM3037" 0
"TMM0609" 0
"TMD0101" 0
"TMMC2407" 0
"TMMC0101" 0
"TMMC0807" 0
"TMMC3507" 0
"TMU0614" 0
"TMU0522" 0
"TMDS3001" 0
"TMDS3501" 0
"TMDS1002" 0
"TMSTRAP" 0
"TMS2235" 0
"TMD3603" 0
"TMD2235" 0
"TMBP3014" 0
"TMBP0609" 0
"TMD3931" 0
"TMS2835" 3
"TMS0235" 0
"TMS4028" 0
"TMS1021" 0
"TMM3001" 0
"TMM3514" 0
"TMHS05" 0
"TMHS14" 0
"TMHS15" 0
"TMHS21" 0
"TMHS22" 0
"TMHS30" 0
"TMHS35" 0
"TMHS37" 0
"TMHS39" 0
"TMBB3735" 0
"TMBB1539" 3
"TMBB4037" 0
"TMBB0918" 0
"TMBB3939" 0
"TMBB1435" 0
"TMK3514" 3
"TMK3130" 0
"TMS08" 16
"TMS1014" 10
"TMDS1014" 0
"TMBB1409" 0
"TMS3621" 0
"TMD3139" 0
"TMBB3118" 0
"TMSL" 24
"TMS3528" 1
"TMS3905" 0
"TMD3024" 0
"TMD0640" 0
"TMD2835" 13
"TMBP0606" 1
"TMD4007" 0
"TMD3002" 3
"TMD2121" 0
"TMD2101" 0
"TMK3723" 0
"TMK3423" 0
"TMK2315" 0
"TMK2321" 0
"TMK2308" 0
"TMK0823" 0
"TMK2322" 0
"TMBP2323" 0
"TMBP2321" 0
"TMBP2330" 0
"TMBP2815" 0
"TMBP1531" 0
"TMBP1508" 0
"TMP3030" 0
"TMP1919" 0
"TMP3434" 0
"TMP1010" 0
"TMP3535" 0
"TMP3737" 0
"TMP4040" 0
"TMP1515" 0
"TMP1414" 0
"TMK2323" 0
"TMK2337" 0
"TMD2815" 1
"TMU0203" 0
"TMU0634" 0
"TMMC0201" 0
"TMD2115" 0
"TMD2119" 0
"TMK3036" 0
"TMK1534" 1
"TMP0707" 0
"TMP3515" 0
"TMS0714" 0
"TMD3634" 0
"TMDS3707" 0
"TMDS1402" 0
"TMKS3424" 0
"TMKS1402" 0
"TMKS3039" 0
"TMMMC3139" 0
"TMMMC3734" 0
"TMMC0207" 0
"TMMC2434" 0
"TMMC3906" 0
"TMDS3514" 0
"TMD3421" 0
"TMK2437" 0
"TMK3528" 0
"TMK3724" 0
"TMM0707" 0
"TMP2323" 0
"TMBB2828" 0
"TMBB3940" 0
"TMMC3935" 0
"TMMC1535" 0
"TMBP3935" 0
"TMBP1511" 0
"TMBP3114" 0
"TMBP243734" 0
"TMBINER2" 0
"TMK1007" 0
"TMBP1010" 0
"TMBP0311" 0
"TMBP0340" 0
"TMC37" 0
"TMC05" 0
"TMS37" 27
"TMS21" 15
"TMBB0203" 0
"TMS14" 14
"TMBB3410" 0
"TMBB2323" 0
"TMBB2119" 0
"TMK3507" 0
"TMK2234" 0
"TMK0740" 0
"TMMC0614" 0
"TMMC3435" 0
"TMBB1140" 0
"TMBB3021" 0
"TMBB2837" 1
"TMP0101" 0
"TMS1421" 1
"TMS09" 12
"TMS02" 5
"TMU2435" 0
"TMKS0335" 1
"TMMIMIXED1" 0
"TMKS3935" 2
"TMBP0637" 0
"TMBP0703" 1
"TMBP3915" 1
"TMBP3431" 0
"TMBP1517" 0
"TMBP3534" 0
"TMBP3639" 0
"TMS1509" 0
"TMD0108" 0
"TMMMC0106" 1
"TMS1118" 0
"TMS3411" 0
"TMD0331" 0
"TMD0609" 0
"TMD1135" 3
"TMD1803" 0
"TMS0128" 0
"TMS0110" 0
"TMS0137" 0
"TMS0111" 0
"TMD0735" 3
"TMD3637" 0
"TMMQ" 0
"TMBB0522" 0
"TMBP3931" 1
"TMS3435" 9
"TMMI2839" 0
"TMM2839" 0
"TMK1436" 0
"TMBB0336" 0
"TMKB35" 0
"TMM3021" 0
"TMD0224" 0
"TMD1515" 0
"TMD3434" 0
"TMS0224" 0
"TMBP0337" 0
"TMBP3405" 0
"TMBB3728" 0
"TMBB1114" 0
"TMBB2836" 0
"TMD2836" 0
"TMD0211" 0
"TMD3422" 0
"TMD3014" 0
"TMFRIS09" 0
"TMFRIS02" 0
"TMBP1536" 0
"TMMC3037" 2
"TMU3921" 0
"TMD0707" 0
"TMD1530" 0
"TMD0630" 0
"TMK3539" 0
"TMK2305" 0
"TMK2303" 0
"TMK0230" 0
"TMMC0507" 0
"TMS03" 12
